Adolph Rupp
Al McGuire
Anthony Grant
Babe McCarthy
Ben Howland
BIll Henderson
Bill Herrion
Bill Rohr
Bill Self
Billy Donovan
Billy Kennedy
Billy Tubbs
Blaine Taylor
Bo Ryan
Bob Gaillard
Bob Huggins
Bob Knight
Bob Marlin
Bob McKillop
Bob Nichols
Bob Thomason
Bob Weinhauer
Bob Weltlich
Bob Williams
Bobby Cremins
Bobby Laughlin
Brad Stevens
Branch McCracken
Bruce Drake
Bruce Pearl
Bruce Weber
Bud Foster
Buster Brannon
Butch van Breda Kolff
Buzz Peterson
Cappy Cappon
Charles Spoonhour
Charles Woollum
Charlie Coles
Chuck Daly
Clair Bee
Cliff Ellis
Clyde Barker
Cy Alexander
Dale Brown
Dan Monson
Dana Kirk
Danny Kaspar
Darrell Hedric
Dave Loos
Dave Rose
Davey Whitney
Dean Smith
Dennis Wolff
Denny Crum
Dick Hunsaker
Dick Motta
Dick Tarrant
Doc Carlson
Doc Hayes
Doggie Julian
Don Corbett
Don DeVoe
Don Haskins
Don Maestri
Donald White
Douglas Mills
E.A. Diddle
Ed Jucker
Eddie Biedenbach
Eddie Hickey
Eddie Sutton
Edward Donovan
Ernest Calverley
Everett Case
Everett Dean
Everett Shelton
Fang Mitchell
Fran Dunphy
Fran McCaffery
Frank Keaney
Frank Kerns
Frank McGuire
Fred Enke
Fred Schaus
Fred Shabel
Fred Taylor
Frosty Cox
Gale Catlett
Gary Williams
Gene Bartow
Gene Keady
George Ireland
George King
George Smith
Glen Rose
Gregg Marshall
Guy Lewis
Hank Iba
Harold Bradley
Harold Olsen
Harry Combes
Harry Litwack
Hec Edmundson
Homer Drew
Howard Cann
Howard Hobson
Hugh Greer
J.D. Barnett
Jack Gardner
Jack Leaman
Jack McKinney
Jack Ramsay
James Snyder
Jeff Jones
Jerry Hines
Jerry Tarkanian
Jessie Evans
Jim Boeheim
Jim Brandenburg
Jim Calhoun
Jim Christian
Jim Crews
Jim Harrick
Jim Killingsworth
Jim Larranaga
Jim O'Brien
Jim Valvano
Joe B. Hall
Joe Davis
Joe Lapchick
Joe Mihalich
Joe Williams
John Brady
John Calipari
John Carpenter
John Chaney
John Dromo
John Kresse
John Oldham
John Shulman
John Thompson
John Thompson
John Wiethe
John Wooden
Jud Heathcote
Karl Fogel
Keith Dambrot
Kenneth Loeffler
Kenneth Norton
Kermit Davis
Lafayette Stribling
Larry Brown
Larry Eustachy
Lefty Driesell
Lon Jourdet
Lou Carnesecca
Louis Menze
Lute Olson
Mack McCarthy
Mark Few
Mark Fox
Mark Gottfried
Matt Furjanic
Maury John
Mike Krzyzewski
Mike Montgomery
Mike Vining
Murray Arnold
Nat Holman
Ned Wulk
Neil McCarthy
Nibs Price
Nick Macarchuk
Nolan Richardson
Norm Sloan
Norm Stewart
Oliver Purnell
Ozzie Cowles
Pat Foster
Pat Kennedy
Paul Evans
Paul Westhead
Perry Clark
Pete Carril
Pete Gillen
Pete Newell
Peter Peletta
Phil Johnson
Phil Martelli
Phil Woolpert
Phog Allen
Piggy Lambert
Polk Robison
Presley Askew
Ralph Miller
Ralph Willard
Ray Mears
Ray Meyer
Rick Byrd
Rick Majerus
Rick Pitino
Rick Stansbury
Robert Moreland
Rollie Massimino
Ronnie Arrow
Roy Williams
Russ Bergman
Sam Barry
Scott Sutton
Sean Miller
Shelby Metcalf
Skip Prosser
Slats Gill
Stan Joplin
Stan Watts
Steve Alford
Steve Fisher
Steve Hawkins
Steve Newton
Steve Shields
Stew Morrill
Taps Gallagher
Ted Owens
Terry Holland
Terry Truax
Tevester Anderson
Tex Winter
Thad Matta
Thomas Penders
Tic Price
Tim Floyd
Tiny Grant
Tom Davis
Tom Green
Tom Izzo
Tom Young
Tubby Smith
Vadal Peterson
Vic Bubas
Willard Witte
